"county","rate_change_eth"
"Pulaski",5.221932115
"Berrien",4.427717512
"McIntosh",3.351206434
"Gwinnett",3.349335715
"Putnam",2.72479564
"Washington",2.399808015
"Pickens",2.038320424
"Liberty",1.674948356
"Rockdale",1.628929793
"Harris",1.563232765
"Oconee",1.51998784
"Wayne",1.499925004
"Bryan",1.36239782
"Hall",1.305858079
"Barrow",1.298448354
"Fayette",1.269250296
"Laurens",1.104728237
"Habersham",1.098418278
"Colquitt",1.022494888
"Carroll",0.980167936
"Lowndes",0.91016656
"Paulding",0.888375605
"Chatham",0.842644555
"Baldwin",0.809716599
"Camden",0.785916379
"Jackson",0.745267551
"Fulton",0.54303825
"Bartow",0.470477535
"Clarke",0.453381089
"Coweta",0.396573604
"Douglas",0.331213567
"Cobb",0.276330878
"Richmond",0.22531657
"Cherokee",0.217741584
"Appling",0
"Atkinson",0
"Bacon",0
"Baker",0
"Banks",0
"Bibb",0
"Bleckley",0
"Brantley",0
"Brooks",0
"Bulloch",0
"Burke",0
"Butts",0
"Calhoun",0
"Candler",0
"Charlton",0
"Chattooga",0
"Clay",0
"Clinch",0
"Cook",0
"Crawford",0
"Crisp",0
"Dade",0
"Dawson",0
"Decatur",0
"Dooly",0
"Early",0
"Echols",0
"Effingham",0
"Elbert",0
"Emanuel",0
"Evans",0
"Fannin",0
"Franklin",0
"Glascock",0
"Glynn",0
"Gordon",0
"Greene",0
"Hancock",0
"Hart",0
"Heard",0
"Henry",0
"Houston",0
"Jasper",0
"Jeff Davis",0
"Jefferson",0
"Jenkins",0
"Johnson",0
"Jones",0
"Lamar",0
"Lanier",0
"Lee",0
"Lincoln",0
"Long",0
"Lumpkin",0
"Macon",0
"Madison",0
"Marion",0
"McDuffie",0
"Meriwether",0
"Miller",0
"Mitchell",0
"Monroe",0
"Montgomery",0
"Murray",0
"Muscogee",0
"Oglethorpe",0
"Peach",0
"Pierce",0
"Pike",0
"Polk",0
"Quitman",0
"Rabun",0
"Randolph",0
"Schley",0
"Screven",0
"Seminole",0
"Stephens",0
"Stewart",0
"Sumter",0
"Talbot",0
"Taliaferro",0
"Tattnall",0
"Taylor",0
"Telfair",0
"Terrell",0
"Thomas",0
"Toombs",0
"Towns",0
"Treutlen",0
"Turner",0
"Twiggs",0
"Upson",0
"Walker",0
"Ware",0
"Warren",0
"Webster",0
"White",0
"Whitfield",0
"Wilcox",0
"Wilkes",0
"Wilkinson",0
"Catoosa",0
"DeKalb",-0.0711526010000001
"Columbia",-0.34010135
"Dougherty",-0.415282392
"Troup",-0.684884597
"Forsyth",-0.749203971
"Clayton",-0.808767035
"Spalding",-0.833125052
"Walton",-0.846919331
"Newton",-0.870738822
"Chattahoochee",-0.967024465
"Tift",-1.017811705
"Floyd",-1.056524036
"Coffee",-1.06292517
"Haralson",-1.836210062
"Grady",-2.106149958
"Gilmer",-2.129471891
"Ben Hill",-2.249212776
"Dodge",-2.576655501
"Morgan",-2.961208173
"Worth",-3.062787136
"Union",-3.539823009
"Irwin",-7.98084597
"Wheeler",-8.438818565
