"county","rate_change_poison"
"Pickens",20.38320424
"Gwinnett",18.979569048
"Brooks",16.49620587
"Screven",16.21796951
"Coweta",15.862944163
"Baker",15.77287066
"Ben Hill",15.74448943
"Glascock",12.78772379
"Jackson",11.17901326
"Appling",11.120378094
"Carroll",10.781847286
"Banks",10.624169983
"Thomas",9.69109631
"Gordon",9.661835745
"Miller",9.505703418
"Towns",9.442870634
"Crisp",8.81251377
"Coffee",8.50340136
"Bartow",8.468595628
"Sumter",8.15993472
"Upson",7.4906367
"Treutlen",7.380073801
"Bleckley",7.313505607
"Chatham",7.246743174
"Colquitt",7.15746421
"Union",7.07964602
"Hall",7.051633633
"Houston",6.95732838
"Monroe",6.776598148
"Paulding",6.662817038
"Clinch",6.66222518
"Richmond",6.083547388
"Forsyth",5.99363176
"Bulloch",5.976333718
"Fannin",5.518763797
"Seminole",5.39083558
"Murray",5.056890017
"Bibb",4.96538833
"Washington",4.799616031
"Harris",4.689698296
"Long",4.506534475
"Jones",4.370629371
"Newton",4.35369411
"Fulton",4.19620466
"Burke",4.191114836
"Muscogee",4.13789537
"Clarke",4.080429808
"Effingham",3.962907188
"Dawson",3.824091778
"Henry",3.521185801
"McIntosh",3.351206434
"Toombs",3.33945567
"Lowndes",3.337277392
"DeKalb",3.273019651
"Rockdale",3.257859586
"Camden",3.14366551
"Stephens",3.126465531
"Worth",3.062787141
"Tift",3.05343511
"Peach",3.027550712
"Dougherty",2.906976749
"Pierce",2.809778027
"Bryan",2.724795641
"Cherokee",2.612899014
"Dade",2.299908003
"Walker",2.290600901
"Pike",2.251745103
"Laurens",2.20945647
"Floyd",2.11304807
"Grady",2.10614996
"Madison",1.971608832
"Glynn",1.93050193
"Haralson",1.83621006
"Decatur",1.822157435
"Cobb",1.796150713
"Walton",1.69383866
"Oconee",1.51998784
"Ware",1.37684153
"Douglas",0.993640698999999
"Clayton",0.606575276
"Fayette",0.42308343
"Calhoun",0
"Charlton",0
"Chattooga",0
"Clay",0
"Early",0
"Echols",0
"Emanuel",0
"Hancock",0
"Heard",0
"Jasper",0
"Jefferson",0
"Johnson",0
"Lee",0
"Lincoln",0
"Macon",0
"Marion",0
"Montgomery",0
"Oglethorpe",0
"Pulaski",0
"Putnam",0
"Quitman",0
"Spalding",0
"Stewart",0
"Taliaferro",0
"Tattnall",0
"Taylor",0
"Terrell",0
"Warren",0
"Wayne",0
"Webster",0
"Wilkes",0
"Catoosa",0
"Columbia",-0.34010135
"Troup",-1.36976919
"Berrien",-2.213858757
"Lamar",-2.295684113
"Hart",-2.411963338
"Lumpkin",-2.463661
"Barrow",-2.596896705
"Polk",-3.163222269
"Telfair",-3.164556962
"Jeff Davis",-3.25839036
"Dooly",-3.663003663
"Brantley",-3.676470588
"Greene",-3.849114704
"Whitfield",-3.860341423
"Wilkinson",-4.14078675
"Turner",-4.710315591
"Chattahoochee",-4.83512233
"Jenkins",-4.868549172
"Bacon",-4.955401388
"Elbert",-4.977600795
"Atkinson",-5.130836326
"Habersham",-5.49209139
"Wilcox",-5.524861878
"Baldwin",-5.66801619
"Butts",-5.763688765
"Morgan",-5.922416351
"Gilmer",-6.388415678
"White",-7.466865783
"Talbot",-7.656967841
"Franklin",-7.72399588
"Dodge",-7.7299665
"Randolph",-7.745933385
"Mitchell",-7.821666015
"Candler",-8.271298593
"Twiggs",-8.333333337
"Evans",-8.940545377
"Lanier",-9.02527075
"McDuffie",-9.372071226
"Schley",-9.689922481
"Crawford",-10.01001001
"Meriwether",-10.48218029
"Liberty",-10.60800625
"Rabun",-14.461315985
"Cook",-15.21606817
"Irwin",-15.96169194
"Wheeler",-33.75527426
