"county","rate_change_sed"
"Baker",15.77287066
"Ben Hill",13.495276654
"Jackson",11.924280818
"Thomas",8.479709264
"Pickens",8.153281698
"Upson",7.4906367
"Colquitt",6.134969325
"Worth",6.125574273
"Gwinnett",5.582226192
"Appling",5.560189047
"Fannin",5.518763797
"Seminole",5.39083558
"Gordon",5.270092226
"Pulaski",5.22193212
"Coweta",5.155456853
"Dodge",5.153311007
"Towns",4.721435317
"Emanuel",4.433606739
"Crisp",4.406256883
"Bartow",4.234297813
"Wilkinson",4.140786749
"Candler",4.135649297
"Forsyth",4.120621839
"Sumter",4.07996736
"Paulding",3.997690223
"Carroll",3.920671741
"Decatur",3.644314869
"Bulloch",3.585800232
"Hall",3.395231007
"Houston",3.313013517
"Brooks",3.299241175
"Screven",3.243593902
"Bibb",3.212898326
"Clarke",3.173667626
"Peach",3.027550711
"Jefferson",2.808199944
"Ware",2.75368306
"Dougherty",2.491694352
"Elbert",2.488800398
"Chatham",2.359404756
"Henry",2.179781686
"Rockdale",2.171906391
"Coffee",2.12585034
"Walton",2.117298328
"Fayette",2.11541716
"Floyd",2.113048077
"Grady",2.106149958
"Burke",2.095557418
"Tift",2.03562341
"Cherokee",1.959674259
"Glynn",1.930501931
"Richmond",1.802532558
"Fulton",1.678481862
"Clayton",1.617534069
"Harris",1.563232765
"Walker",1.527067267
"Oconee",1.51998784
"Jones",1.456876457
"Murray",1.264222503
"Cobb",1.243488954
"DeKalb",1.209594217
"Laurens",1.104728237
"Effingham",0.792581438
"Lowndes",0.606777707
"Douglas",0.331213567
"Bacon",0
"Banks",0
"Berrien",0
"Bleckley",0
"Brantley",0
"Bryan",0
"Calhoun",0
"Chattooga",0
"Clay",0
"Clinch",0
"Dade",0
"Dawson",0
"Dooly",0
"Early",0
"Echols",0
"Glascock",0
"Habersham",0
"Hancock",0
"Heard",0
"Irwin",0
"Jasper",0
"Johnson",0
"Lincoln",0
"Long",0
"Macon",0
"Marion",0
"McIntosh",0
"Miller",0
"Montgomery",0
"Newton",0
"Pierce",0
"Pike",0
"Quitman",0
"Schley",0
"Stephens",0
"Stewart",0
"Talbot",0
"Taliaferro",0
"Taylor",0
"Terrell",0
"Treutlen",0
"Twiggs",0
"Warren",0
"Washington",0
"Wayne",0
"Webster",0
"Wilcox",0
"Wilkes",0
"Catoosa",0
"Columbia",-0.34010135
"Polk",-1.054407423
"Lumpkin",-1.2318305
"Muscogee",-1.293092301
"Troup",-1.369769194
"Spalding",-1.666250104
"Toombs",-1.66972783
"Butts",-1.921229587
"Barrow",-1.947672532
"Mitchell",-1.955416503
"Lee",-1.963093836
"Madison",-1.971608833
"Monroe",-2.258866049
"Lamar",-2.295684114
"Hart",-2.411963338
"Baldwin",-2.429149798
"Meriwether",-2.620545073
"Putnam",-2.72479564
"Morgan",-2.961208173
"Oglethorpe",-3.016591252
"Camden",-3.143665514
"Telfair",-3.164556962
"Tattnall",-3.430531732
"Haralson",-3.672420125
"White",-3.733432892
"Greene",-3.849114704
"Charlton",-4.210526316
"Gilmer",-4.258943782
"Evans",-4.470272686
"Turner",-4.710315591
"Jenkins",-4.868549172
"Atkinson",-5.130836326
"Whitfield",-5.147121901
"Franklin",-5.149330589
"Jeff Davis",-6.51678071
"McDuffie",-7.029053421
"Union",-7.079646021
"Chattahoochee",-7.736195723
"Randolph",-7.745933385
"Liberty",-8.374741781
"Wheeler",-8.438818565
"Lanier",-9.025270758
"Crawford",-10.01001001
"Rabun",-10.84598699
"Cook",-12.172854536
