"county","ratethouSed_2016"
"Upson",16.85393258
"Baker",15.77287066
"Ben Hill",15.74448943
"Pulaski",15.66579635
"Pickens",14.26824297
"Ware",13.76841526
"Jackson",13.41481592
"Toombs",13.35782268
"Dodge",12.88327751
"Floyd",11.6217644
"Crisp",11.01564221
"Thomas",10.90248334
"Towns",9.442870633
"Worth",9.188361409
"Emanuel",8.867213478
"Gordon",8.783487044
"Hall",8.618663324
"Muscogee",8.534409186
"Bibb",8.470368315
"Wheeler",8.438818565
"Grady",8.424599832
"Liberty",8.374741779
"Glynn",8.365508366
"Appling",8.34028357
"Coweta",8.328045685
"Gwinnett",7.815116669
"Laurens",7.733097658
"Franklin",7.723995881
"Paulding",7.551192644
"Carroll",7.514620838
"Wayne",7.499625019
"Houston",7.288629738
"Colquitt",7.157464213
"Tift",7.124681934
"Forsyth",7.117437722
"Troup",6.848845969
"Fayette",6.769334913
"Lowndes",6.674554777
"Fulton",6.664560336
"Clinch",6.662225183
"Dougherty",6.644518272
"Habersham",6.590509666
"Bartow",6.586685486
"Jeff Davis",6.51678071
"Richmond",6.308863954
"Chatham",6.067040801
"Taylor",6.024096386
"Walton",5.928435317
"Baldwin",5.668016194
"Newton",5.659802342
"Bulloch",5.577911471
"Wilkes",5.561735261
"Fannin",5.518763797
"Haralson",5.508630187
"Putnam",5.449591281
"Sumter",5.43995648
"Seminole",5.39083558
"Coffee",5.31462585
"Clarke",4.987191984
"DeKalb",4.696071665
"Cherokee",4.57257327
"Henry",4.527238887
"Evans",4.470272687
"Rockdale",4.343812782
"Clayton",4.246026932
"Spalding",4.16562526
"Wilkinson",4.140786749
"Candler",4.135649297
"Cobb",4.00679774
"Camden",3.929581892
"Decatur",3.644314869
"Douglas",3.643349232
"Union",3.539823009
"Brooks",3.299241175
"Macon",3.290556104
"Screven",3.243593902
"Effingham",3.170325751
"Stephens",3.126465531
"Cook",3.043213634
"Oconee",3.03997568
"Peach",3.027550711
"Whitfield",3.002487776
"Morgan",2.961208173
"Chattahoochee",2.901073397
"Pierce",2.809778028
"Jefferson",2.808199944
"Barrow",2.596896708
"Murray",2.528445006
"Elbert",2.488800398
"Bleckley",2.437835202
"McDuffie",2.343017807
"Dade",2.299908004
"Lamar",2.295684114
"Walker",2.290600901
"Berrien",2.213858756
"Gilmer",2.129471891
"Burke",2.095557418
"Lee",1.963093836
"Mitchell",1.955416504
"Butts",1.921229587
"Harris",1.563232765
"Jones",1.456876457
"Lumpkin",1.2318305
"Polk",1.054407423
"Columbia",0.34010135
"Atkinson",0
"Bacon",0
"Banks",0
"Brantley",0
"Bryan",0
"Calhoun",0
"Charlton",0
"Chattooga",0
"Clay",0
"Crawford",0
"Dawson",0
"Dooly",0
"Early",0
"Echols",0
"Glascock",0
"Greene",0
"Hancock",0
"Hart",0
"Heard",0
"Irwin",0
"Jasper",0
"Jenkins",0
"Johnson",0
"Lanier",0
"Lincoln",0
"Long",0
"Madison",0
"Marion",0
"McIntosh",0
"Meriwether",0
"Miller",0
"Monroe",0
"Montgomery",0
"Oglethorpe",0
"Pike",0
"Quitman",0
"Rabun",0
"Randolph",0
"Schley",0
"Stewart",0
"Talbot",0
"Taliaferro",0
"Tattnall",0
"Telfair",0
"Terrell",0
"Treutlen",0
"Turner",0
"Twiggs",0
"Warren",0
"Washington",0
"Webster",0
"White",0
"Wilcox",0
"Catoosa",0
